model,execution_type,db_path,table,sql_query,question,result
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in descending order.","[['Blue whale', 'Mammal', 'Oceans', 90, 150000], ['African elephant', 'Mammal', 'African savannas', 70, 6000], ['Great white shark', 'Fish', 'Oceans', 70, 1100], ['White rhinoceros', 'Mammal', 'African savannas', 50, 2300], ['Hippopotamus', 'Mammal', 'African rivers', 40, 1500]]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Name` ASC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Name` in ascending order.","[['African Elephant', 'Mammal', 'African savannas', 70, 6000.0], ['African Lion', 'Mammal', 'Savannas', 14, 190.0], ['Anaconda', 'Reptile', 'Rivers and lakes', 70, 500.0], ['Bald Eagle', 'Bird', 'Mountains', 25, 6.0], ['Emperor Penguin', 'Bird', 'Antarctica', 20, 30.0]]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,animals,SELECT `Name` FROM `animals` ORDER BY `Name` ASC LIMIT 5,Select only the column `Name` from `animals`. Sort it in ascending order and return the first 5 values.,"[['African Elephant'], ['African Lion'], ['Anaconda'], ['Bald Eagle'], ['Blue Whale']]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,animals,SELECT `Average lifespan` FROM `animals` ORDER BY `Average lifespan` DESC LIMIT 5,Select only the column `Average lifespan` from `animals`. Sort it in descending order and return the first 5 values.,"[[150], [120], [100], [80], [70]]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,animals,SELECT `Average weight (kg)` FROM `animals` ORDER BY `Average weight (kg)` ASC LIMIT 5,Select only the column `Average weight (kg)` from `animals`. Sort it in ascending order and return the first 5 values.,"[[8], [0.02], [0.1], [1], [1.5]]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Horsepower` ASC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Horsepower` in ascending order.","[['Model 3', 'Tesla', 2022, 'Sedan', 283, 0.0, 'USA'], ['500e', 'Fiat', 2023, 'City car', 118, 0.0, 'Italy'], ['Leaf', 'Nissan', 2022, 'Hatchback', 147, 0.0, 'Japan'], ['EQA', 'Mercedes-Benz', 2023, 'SUV', 190, 0.0, 'Germany'], ['Outlander PHEV', 'Mitsubishi', 2021, 'SUV', 221, 2.0, 'Japan']]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,cars,SELECT `Brand` FROM `cars` ORDER BY `Brand` DESC LIMIT 5,Select only the column `Brand` from `cars`. Sort it in descending order and return the first 5 values.,"[['Volkswagen'], ['Subaru'], ['Renault'], ['Porsche'], ['Nissan']]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,cars,SELECT `Model` FROM `cars` ORDER BY `Model` ASC LIMIT 5,Select only the column `Model` from `cars`. Sort it in ascending order and return the first 5 values.,"[['Alfa Romeo'], ['Audi'], ['BMW'], ['Dacia'], ['Fiat']]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,cars,SELECT `Model` FROM `cars` ORDER BY `Model` DESC LIMIT 5,Select only the column `Model` from `cars`. Sort it in descending order and return the first 5 values.,"[['Tesla Model 3'], ['Toyota Yaris'], ['Toyota RAV4'], ['Volvo XC90'], ['Volkswagen Golf']]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,monuments,SELECT * FROM `monuments` ORDER BY `year_built` ASC LIMIT 5,"List the top 5 rows from the table `monuments`, sorted by the column `year_built` in ascending order.","[['Great Pyramid of Giza', 'Egypt', 138.8, -2560, 'limestone'], ['Stonehenge', 'United Kingdom', 4.0, -2500, 'sarsen'], ['Petra', 'Jordan', 40.0, -312, 'sandstone'], ['Colosseum', 'Italy', 48.0, 80, 'travertine'], ['Acropolis of Athens', 'Greece', 156.0, -447, 'marble']]"
gpt-5_mini,NULL,data/categorical_simple_eng.sqlite,monuments,SELECT `height_m` FROM `monuments` ORDER BY `height_m` DESC LIMIT 5,Select only the column `height_m` from `monuments`. Sort it in descending order and return the first 5 values.,"[[828], [553], [509], [379], [324]]"
