db_path,table_name,test_category,query,model,AI_answer,SQL_query,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-SINGLE,Show the first 24 entries ordered by InvoiceDate in ascending order for the table accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `accounts_receivable` ORDER BY `InvoiceDate` ASC LIMIT 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-SINGLE,Show the first 24 entries ordered by InvoiceDate in descending order for the table accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `accounts_receivable` ORDER BY `InvoiceDate` DESC LIMIT 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-SINGLE,Show the first 24 entries ordered by Disputed in ascending order for the table accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `accounts_receivable` ORDER BY `Disputed` ASC LIMIT 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-SINGLE,Show the first 24 entries ordered by Disputed in descending order for the table accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `accounts_receivable` ORDER BY `Disputed` DESC LIMIT 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-SINGLE,Show the first 24 entries ordered by SettledDate in ascending order for the table accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `accounts_receivable` ORDER BY `SettledDate` ASC LIMIT 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-SINGLE,Show the first 24 entries ordered by SettledDate in descending order for the table accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `accounts_receivable` ORDER BY `SettledDate` DESC LIMIT 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-SINGLE,Show the first 24 entries ordered by PaperlessBill in ascending order for the table accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `accounts_receivable` ORDER BY `PaperlessBill` ASC LIMIT 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-SINGLE,Show the first 24 entries ordered by PaperlessBill in descending order for the table accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `accounts_receivable` ORDER BY `PaperlessBill` DESC LIMIT 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-ADVANCED,"Show the first 8 entries ordered by the sum of [PaperlessDate + DueDate + PaperlessBill], in ascending order for the table accounts_receivable",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[391, '0379-NEVHP', '4/6/2013', 611365, '1/2/2013', '2/1/2013', 55.94, 'No', '1/15/2013', 'Paper', 13, 0], [406, '8976-AMJEO', '3/3/2012', 7900770, '1/26/2013', '2/25/2013', 61.74, 'Yes', '3/3/2013', 'Electronic', 36, 6], [391, '2820-XGXSB', '1/26/2012', 9231909, '7/3/2013', '8/2/2013', 65.88, 'No', '7/8/2013', 'Electronic', 5, 0], [406, '9322-YCTQO', '4/6/2012', 9888306, '2/10/2013', '3/12/2013', 105.92, 'No', '3/17/2013', 'Electronic', 35, 5], [818, '6627-ELFBK', '11/26/2012', 15752855, '10/25/2012', '11/24/2012', 72.27, 'Yes', '11/28/2012', 'Paper', 34, 4], [818, '5148-SYKLB', '8/28/2013', 18104516, '1/27/2012', '2/26/2012', 94.0, 'Yes', '2/22/2012', 'Paper', 26, 0], [897, '8690-EEBEO', '12/5/2012', 23864272, '8/13/2013', '9/12/2013', 74.69, 'No', '9/9/2013', 'Electronic', 27, 0], [770, '4460-ZXNDN', '6/27/2013', 27545037, '12/16/2012', '1/15/2013', 75.06, 'No', '1/12/2013', 'Paper', 27, 0]]","SELECT * FROM `accounts_receivable` ORDER BY `PaperlessDate` , `DueDate` , `PaperlessBill` ASC LIMIT 8",0.0,0.459,0.472,0.0,1.0,0.375,1.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-ADVANCED,"Show the first 8 entries ordered by the sum of [PaperlessDate + DueDate + PaperlessBill], in descending order for the table accounts_receivable",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[818, '5148-SYKLB', '8/28/2013', 18104516, '1/27/2012', '2/26/2012', 94.0, 'Yes', '2/22/2012', 'Paper', 26, 0], [818, '6627-ELFBK', '11/26/2012', 15752855, '10/25/2012', '11/24/2012', 72.27, 'Yes', '11/28/2012', 'Paper', 34, 4], [897, '8690-EEBEO', '12/5/2012', 23864272, '8/13/2013', '9/12/2013', 74.69, 'No', '9/9/2013', 'Electronic', 27, 0], [770, '4460-ZXNDN', '6/27/2013', 27545037, '12/16/2012', '1/15/2013', 75.06, 'No', '1/12/2013', 'Paper', 27, 0], [770, '3831-FXWYK', '3/8/2013', 28049695, '5/14/2012', '6/13/2012', 80.07, 'Yes', '7/1/2012', 'Paper', 48, 18], [897, '7654-DOLHO', '4/4/2012', 32277701, '7/1/2013', '7/31/2013', 48.33, 'No', '7/26/2013', 'Electronic', 25, 0], [406, '8976-AMJEO', '3/3/2012', 7900770, '1/26/2013', '2/25/2013', 61.74, 'Yes', '3/3/2013', 'Electronic', 36, 6], [391, '0379-NEVHP', '4/6/2013', 611365, '1/2/2013', '2/1/2013', 55.94, 'No', '1/15/2013', 'Paper', 13, 0]]","SELECT * FROM `accounts_receivable` ORDER BY `PaperlessDate` , `DueDate` , `PaperlessBill` DESC LIMIT 8",0.0,0.36,0.375,0.0,1.0,0.25,1.0
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-ADVANCED,"Show the first 8 entries ordered by the sum of [customerID + PaperlessBill], in ascending order for the table accounts_receivable",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[391, '0379-NEVHP', '4/6/2013', 611365, '1/2/2013', '2/1/2013', 55.94, 'No', '1/15/2013', 'Paper', 13, 0], [406, '8976-AMJEO', '3/3/2012', 7900770, '1/26/2013', '2/25/2013', 61.74, 'Yes', '3/3/2013', 'Electronic', 36, 6], [391, '2820-XGXSB', '1/26/2012', 9231909, '7/3/2013', '8/2/2013', 65.88, 'No', '7/8/2013', 'Electronic', 5, 0], [406, '9322-YCTQO', '4/6/2012', 9888306, '2/10/2013', '3/12/2013', 105.92, 'No', '3/17/2013', 'Electronic', 35, 5], [818, '6627-ELFBK', '11/26/2012', 15752855, '10/25/2012', '11/24/2012', 72.27, 'Yes', '11/28/2012', 'Paper', 34, 4], [818, '5148-SYKLB', '8/28/2013', 18104516, '1/27/2012', '2/26/2012', 94.0, 'Yes', '2/22/2012', 'Paper', 26, 0], [897, '8690-EEBEO', '12/5/2012', 23864272, '8/13/2013', '9/12/2013', 74.69, 'No', '9/9/2013', 'Electronic', 27, 0], [770, '4460-ZXNDN', '6/27/2013', 27545037, '12/16/2012', '1/15/2013', 75.06, 'No', '1/12/2013', 'Paper', 27, 0]]","SELECT * FROM `accounts_receivable` ORDER BY `customerID` , `PaperlessBill` ASC LIMIT 8",0.0,0.527,0.549,0.0,1.0,0.5,0.9
data/db_cut_300.sqlite,accounts_receivable,ORDERBY-ADVANCED,"Show the first 8 entries ordered by the sum of [customerID + PaperlessBill], in descending order for the table accounts_receivable",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[818, '5148-SYKLB', '8/28/2013', 18104516, '1/27/2012', '2/26/2012', 94.0, 'Yes', '2/22/2012', 'Paper', 26, 0], [818, '5148-SYKLB', '8/28/2013', 49331333, '5/29/2013', '6/28/2013', 68.8, 'Yes', '7/10/2013', 'Paper', 42, 12], [818, '6627-ELFBK', '11/26/2012', 15752855, '10/25/2012', '11/24/2012', 72.27, 'Yes', '11/28/2012', 'Paper', 34, 4], [818, '6004-KITZM', '9/1/2013', 58393139, '1/6/2013', '2/5/2013', 88.16, 'No', '1/29/2013', 'Paper', 23, 0], [818, '5924-UOPGH', '6/6/2013', 36620839, '5/8/2013', '6/7/2013', 90.08, 'Yes', '6/9/2013', 'Paper', 32, 2], [818, '7695-NKUXM', '11/21/2012', 42511106, '11/7/2012', '12/7/2012', 50.02, 'No', '11/18/2012', 'Paper', 11, 0], [818, '3568-JJMFW', '1/9/2012', 52765186, '10/20/2013', '11/19/2013', 96.23, 'Yes', '11/9/2013', 'Electronic', 20, 0], [818, '5613-UHVMG', '5/31/2012', 55416013, '11/30/2012', '12/30/2012', 42.01, 'Yes', '1/16/2013', 'Electronic', 47, 17]]","SELECT * FROM `accounts_receivable` ORDER BY `customerID` , `PaperlessBill` DESC LIMIT 8",0.0,0.403,0.408,0.0,1.0,0.375,0.25
