model,execution_type,db_path,table,sql_query,question,result,tables_used,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` ASC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `album_id` in ascending order.","[[1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Houdini', '31-05-2024', 5, 'Eminem', '17-10-1972']]","['artists', 'albums']",0.0,1.0,1.0,0,1.0,0.0,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` DESC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `album_id` in descending order.","[[75, 'Laxed (Siren Beat)', '24-04-2020', 67, 'Dave', '01-01-1991'], [74, 'un x100to', '17-04-2023', 66, 'Jawsh 685', '01-01-1991'], [73, 'Old Town Road', '14-03-2019', 65, 'Grupo Frontera', '08-06-2022'], [72, 'The Way We Move', '10-03-2023', 64, 'Lil Nas X', '09-04-1999'], [71, 'Shakira: Bzrp Music Sessions, Vol. 53', '11-01-2023', 63, 'PowerDress', '01-01-1990']]","['artists', 'albums']",0.0,0.897,0.897,0,1.0,0.0,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` ASC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `title` in ascending order.","[[35, 'A Bar Song (Tipsy)', '12-04-2024', 34, 'Shaboozey', '09-05-1995'], [30, 'BABYMONS7ER', '01-04-2024', 29, 'BABYMONSTER', '30-12-2022'], [14, 'bathroom floor', '07-10-2022', 14, 'Kids With Buns', '01-01-2019'], [24, 'Beat Automotivo Tan Tan Tan Viral', '24-05-2022', 24, 'The Kid LAROI', '16-08-2003'], [53, 'Blinding Lights', '29-11-2019', 48, 'The Weeknd', '16-02-1990']]","['artists', 'albums']",0.0,0.357,0.357,0,1.0,0.0,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` DESC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `title` in descending order.","[[69, 'Shakira: Bzrp Music Sessions, Vol. 53', '11-01-2023', 63, 'PowerDress', '01-01-1990'], [65, 'SOS', '08-12-2022', 59, 'Guy Mac', '01-07-1967'], [44, 'Houdini - Single', '09-11-2023', 42, 'Mae Stephens', '24-03-2003'], [4, 'Houdini', '31-05-2024', 5, 'Eminem', '17-10-1972'], [53, 'Blinding Lights', '29-11-2019', 49, 'Metro Boomin', '16-09-1993']]","['artists', 'albums']",0.0,0.0,0.0,0,1.0,0.0,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` ASC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `release_date (dd-mm-yyyy)` in ascending order.","[[26, 'ýýýýýýýý ýýýýýý ýýýýýýýýýýýýýý', '01-12-2015', 26, 'Ariana Grande', '26-06-1993'], [51, 'Shape of You', '06-01-2017', 47, 'Maian', '01-01-1990'], [47, 'Despacito (Featuring Daddy Yankee)', '13-01-2017', 44, 'Mvua', '01-01-1990'], [18, 'As It Was', '31-03-2022', 18, 'Harry Styles', '01-03-1927'], [61, 'Un Verano Sin Ti', '06-05-2022', 56, 'JUVENILE', '25-03-1975']]","['artists', 'albums']",0.0,0.077,0.074,0,1.0,0.0,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` DESC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `release_date (dd-mm-yyyy)` in descending order.","[[8, 'ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý -', '09-06-2024', 9, 'Central Cee', '04-06-1998'], [55, 'Dona Felicidade', '04-06-2024', 51, 'Sam Smith', '19-05-1992'], [43, 'Please Please Please', '06-06-2024', 21, 'Beyoncé', '04-09-1981'], [58, 'Stereo Love Deluxe (feat. Vika Jigulina)', '05-06-2024', 53, 'mitsu sound', '01-01-1988'], [11, 'The Door', '14-06-2024', 12, 'Billie Eilish', '18-12-2001']]","['artists', 'albums']",0.0,0.067,0.077,0,1.0,0.0,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` ASC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `artist_id` in ascending order.","[[1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [48, 'euphoria', '30-04-2024', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992']]","['artists', 'albums']",0.0,0.957,0.957,0,1.0,0.0,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` DESC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `artist_id` in descending order.","[[69, 'Papercuts', '12-04-2024', 62, 'Bizarrap', '29-08-1998'], [70, 'Shakira: Bzrp Music Sessions, Vol. 53', '11-01-2023', 63, 'PowerDress', '01-01-1990'], [71, 'The Way We Move', '10-03-2023', 64, 'Lil Nas X', '09-04-1999'], [72, 'Old Town Road', '14-03-2019', 65, 'Grupo Frontera', '08-06-2022'], [73, 'un x100to', '17-04-2023', 66, 'Jawsh 685', '01-01-1991']]","['artists', 'albums']",0.0,0.767,0.793,0,1.0,0.0,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT T1.`album_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` ASC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `album_id`, sort it in ascending order, and return the top 5 rows.","[[1], [2], [3], [4], [5]]","['artists', 'albums']",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT T1.`album_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` DESC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `album_id`, sort it in descending order, and return the top 5 rows.","[[75], [74], [73], [72], [71]]","['artists', 'albums']",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT T1.`title` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` ASC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `title`, sort it in ascending order, and return the top 5 rows.","[['400 Degreez (Deluxe Edition)'], ['A Bar Song (Tipsy)'], ['As It Was'], ['BABYMONS7ER'], ['Beat Automotivo Tan Tan Tan Viral']]","['artists', 'albums']",0.0,0.8,0.8,0,1.0,0.8,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,SELECT T1.`title` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` DESC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `title`, sort it in descending order, and return the top 5 rows.","[['un x100to'], ['Water'], ['What Was I Made For? (From The Motion Picture ""Barbie"")'], [""WE DON'T TRUST YOU""], ['WTHE TORTURED POETS DEPARTMENT']]","['artists', 'albums']",0.0,0.2,0.2,0,1.0,0.2,1.0
